Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
heat transfer,Charles Lee,https://pages.charlotte.edu/connections/people/cyclee/,Nenad Sarunac,https://pages.charlotte.edu/connections/people/nsarunac/,,
fluid Mechanics,Russell Keanini,https://pages.charlotte.edu/connections/people/rkeanini/,Daniel Hoch,https://pages.charlotte.edu/connections/people/dhoch2/,Robert Johnson,https://pages.charlotte.edu/connections/people/robejohn/
nanostructures,Ting Xu,https://pages.charlotte.edu/connections/people/ttxu/,HaiTao Zhang,https://pages.charlotte.edu/connections/people/hzhang3/,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/
computational fluid dynamics,Praveen Ramaprabhu,https://pages.charlotte.edu/connections/people/pramapra/,,,,
traffic engineering,Martin Kane,https://pages.charlotte.edu/connections/people/mrkane/,David Naylor,https://pages.charlotte.edu/connections/people/dnaylor/,,
communications,Sheng-Guo Wang,https://pages.charlotte.edu/connections/people/swang/,Jiang Xie,https://pages.charlotte.edu/connections/people/jxie1/,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/
highway safety,Martin Kane,https://pages.charlotte.edu/connections/people/mrkane/,David Naylor,https://pages.charlotte.edu/connections/people/dnaylor/,,
wireless sensor networks,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,James Conrad,https://pages.charlotte.edu/connections/people/jmconrad/,Matthew Whelan,https://pages.charlotte.edu/connections/people/mwhelan3/
smart grids,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,Badrul Chowdhury,https://pages.charlotte.edu/connections/people/bchowdhu/
traffic safety,Martin Kane,https://pages.charlotte.edu/connections/people/mrkane/,David Naylor,https://pages.charlotte.edu/connections/people/dnaylor/,,
intelligent transportation systems,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Wei Fan,https://pages.charlotte.edu/connections/people/wfan7/,Martin Kane,https://pages.charlotte.edu/connections/people/mrkane/
micro-grids,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,
solar cells,Abasifreke Ebong,https://pages.charlotte.edu/connections/people/aebong1/,,,,
solid mechanics,Jeffrey Raquet,https://pages.charlotte.edu/connections/people/jsraquet/,,,,
traffic operations,Srinivas Pulugurtha,https://pages.charlotte.edu/connections/people/sspulugu/,Wei Fan,https://pages.charlotte.edu/connections/people/wfan7/,,
wastewater treatment,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,James Bowen,https://pages.charlotte.edu/connections/people/jdbowen/,,
water reuse,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,James Amburgey,https://pages.charlotte.edu/connections/people/jeamburg/,,
subgrade stabilization,Rajaram Janardhanam,https://pages.charlotte.edu/connections/people/rajaram/,Vincent Ogunro,https://pages.charlotte.edu/connections/people/vogunro/,,
liquefaction,Rajaram Janardhanam,https://pages.charlotte.edu/connections/people/rajaram/,Miguel Pando,https://pages.charlotte.edu/connections/people/mpando/,,
pavement management systems,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,Dong Chen,https://pages.charlotte.edu/connections/people/dchen9/,,
precision machine design,Kevin Lawton,https://pages.charlotte.edu/connections/people/kmlawton/,Steven Patterson,https://pages.charlotte.edu/connections/people/spatters/,,
sensors,Aidan Browne,https://pages.charlotte.edu/connections/people/abrowne5/,Matthew Whelan,https://pages.charlotte.edu/connections/people/mwhelan3/,,
bridge construction,Thomas Nicholas,https://pages.charlotte.edu/connections/people/tnichola/,Dong Chen,https://pages.charlotte.edu/connections/people/dchen9/,,
image processing,Thomas Weldon,https://pages.charlotte.edu/connections/people/tpweldon/,Min Shin,https://pages.charlotte.edu/connections/people/mcshin/,,
quality management,Afife Sireli,https://pages.charlotte.edu/connections/people/ysireli/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
land development engineering,David Naylor,https://pages.charlotte.edu/connections/people/dnaylor/,,,,
traffic simulation,Wei Fan,https://pages.charlotte.edu/connections/people/wfan7/,,,,
transportation,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Wei Fan,https://pages.charlotte.edu/connections/people/wfan7/,,
distance education,Deborah Sharer,https://pages.charlotte.edu/connections/people/dlsharer/,Cynthia Hancock,https://pages.charlotte.edu/connections/people/cynthia-hancock/,,
magnetic gears,,,,,,
actuators,Maciej Noras,https://pages.charlotte.edu/connections/people/mnoras/,,,,
digital signal processors,Andrew Willis,https://pages.charlotte.edu/connections/people/arwillis/,James Conrad,https://pages.charlotte.edu/connections/people/jmconrad/,,
solid state devices,,,,,,
complex systems,Sheng-Guo Wang,https://pages.charlotte.edu/connections/people/swang/,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/
photovoltaics,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
supply chain management,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
internet of things,Tao Han,https://pages.charlotte.edu/connections/people/than3/,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/
risk analysis,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
high frequency converters,Babak Parkhideh,https://pages.charlotte.edu/connections/people/bparkhid/,,,,
hybrid converters,Babak Parkhideh,https://pages.charlotte.edu/connections/people/bparkhid/,,,,
solar inverters,Babak Parkhideh,https://pages.charlotte.edu/connections/people/bparkhid/,,,,
mobile substations,Babak Parkhideh,https://pages.charlotte.edu/connections/people/bparkhid/,,,,
converters,Babak Parkhideh,https://pages.charlotte.edu/connections/people/bparkhid/,,,,
wireless communications,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
wireless mesh networks,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
renewable integration,Tao Hong,https://pages.charlotte.edu/connections/people/hong/,,,,
wireless sensor routing,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
active mobile substations,Babak Parkhideh,https://pages.charlotte.edu/connections/people/bparkhid/,,,,
dynamic performance optimization,Arun Ravindran,https://pages.charlotte.edu/connections/people/aravindr/,,,,
condition monitoring,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
diagnostics,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
high voltage,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
high voltage engineering,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
arc interruption phenomena,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
machine learning,Benjamin Radford,https://pages.charlotte.edu/connections/people/bradfor7/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/,Douglas Markant,https://pages.charlotte.edu/connections/people/dmarkant/
wireless CDMA,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
energy-efficient design,Arun Ravindran,https://pages.charlotte.edu/connections/people/aravindr/,,,,
feedback control,Arun Ravindran,https://pages.charlotte.edu/connections/people/aravindr/,,,,
cloud computing,Arun Ravindran,https://pages.charlotte.edu/connections/people/aravindr/,,,,
mobile ad hoc networks,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
demand side management,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
embedded chip multi-processing architecture,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
load optimizations,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
micro-architecture exploration,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
cost optimizations,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
micro-electromechanics,,,,,,
revenue optimization,Tao Hong,https://pages.charlotte.edu/connections/people/hong/,,,,
neural networks,Benjamin Radford,https://pages.charlotte.edu/connections/people/bradfor7/,,,,
retail forecasting,Tao Hong,https://pages.charlotte.edu/connections/people/hong/,,,,
electromechanics,,,,,,
optimizations,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
power grid,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
smart grid computation,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
channel characterization,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
communications channel coding,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
communications modeling,Asis Nasipuri,https://pages.charlotte.edu/connections/people/anasipur/,,,,
smart grid algorithms,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
scada algorithms,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
power grid simulation,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
power quality optimizations,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
processor simulation,Arindam Mukherjee,https://pages.charlotte.edu/connections/people/amukherj/,,,,
high voltage testing,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
laboratory experience validation,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
electrodynamic wheels,,,,,,
maglev transportation,,,,,,
magnetically geared devices,,,,,,
magnetically geared generators,,,,,,
metamaterial structures,,,,,,
ferrite microwave devices,,,,,,
reconfigurable computing,Ronald Sass,https://pages.charlotte.edu/connections/people/rsass/,,,,
circuit design,,,,,,
electromagnetic wave propagation,,,,,,
electromagnetics,,,,,,
marine hydrokinetic devices,,,,,,
n\/a,Nabila BouSaba,https://pages.charlotte.edu/connections/people/nbousaba/,,,,
power systems measurement,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
power systems testing,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
renewable energy resources,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
smart grid,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
multi-frequency power systems,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
electric power systems,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
distribution system operation,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
distribution system planning,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
electric power line modeling,Valentina Cecchi,https://pages.charlotte.edu/connections/people/vcecchi/,,,,
high performance systems,Ronald Sass,https://pages.charlotte.edu/connections/people/rsass/,,,,
transmission system design,,,,,,
substation equipment,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
transmission equipment,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
arc-flash hazard,,,,,,
distribution optimization,,,,,,
power systems transients,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
power devices simulation,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
smart grid functions,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
power devices,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
power devices mathematical modeling,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
distribution system design,,,,,,
dynamic analyses,,,,,,
nuclear power plant technology,,,,,,
power system stability,,,,,,
power system transient,,,,,,
transmission optimization,,,,,,
equipment aging,,,,,,
energy infrastructure renewal,,,,,,
dynamic modeling,,,,,,
electrical distribution system design,,,,,,
electrical generation system design,,,,,,
laboratory experience development,Bienvenido Rodriguez-Medina,https://pages.charlotte.edu/connections/people/brodri17/,,,,
smart grid control,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
bridge management systems,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
cement durability,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
cement mixture design,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
cement optimizing materials,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
technological literacy,,,,,,
energy conservation,,,,,,
engineering decision making,Simon Hsiang,https://pages.charlotte.edu/connections/people/shsiang1/,,,,
sensors conditioning,Aidan Browne,https://pages.charlotte.edu/connections/people/abrowne5/,,,,
signal conditioning,Aidan Browne,https://pages.charlotte.edu/connections/people/abrowne5/,,,,
building envelope systems,,,,,,
cement service life,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
cementitious materials,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
parametric modeling,Dong Chen,https://pages.charlotte.edu/connections/people/dchen9/,,,,
parametric visualization,Dong Chen,https://pages.charlotte.edu/connections/people/dchen9/,,,,
design and construction integration,,,,,,
public works projects,,,,,,
accelerated bridge construction,Dong Chen,https://pages.charlotte.edu/connections/people/dchen9/,,,,
sustainable construction materials,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
concrete infrastructure performance concrete construction quality assurance,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
masonry materials,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
cognitive engineering,Simon Hsiang,https://pages.charlotte.edu/connections/people/shsiang1/,,,,
portland cement concrete,Tara Cavalline,https://pages.charlotte.edu/connections/people/tlcavall/,,,,
medical diagnostics,Aidan Browne,https://pages.charlotte.edu/connections/people/abrowne5/,,,,
medical devices,Aidan Browne,https://pages.charlotte.edu/connections/people/abrowne5/,,,,
inorganic-organic hybrids,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
Optical spectroscopy,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,Irina Nesmelova,https://pages.charlotte.edu/connections/people/irina-nesmelova/,,
semiconductor alloys,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
semiconductor superlattices,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
electronic structure modeling,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
electrical engineering,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
mobile networks,Jiang Xie,https://pages.charlotte.edu/connections/people/jxie1/,,,,
networking,Jiang Xie,https://pages.charlotte.edu/connections/people/jxie1/,,,,
wireless networks,Jiang Xie,https://pages.charlotte.edu/connections/people/jxie1/,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/,,
detector,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
solid state physics,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
solid-state-lighting,Yong Zhang,https://pages.charlotte.edu/connections/people/yzhang47/,,,,
outcomes assessment,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
probabilistic modeling,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
applied energy systems,Aidan Browne,https://pages.charlotte.edu/connections/people/abrowne5/,,,,
electro-mechanical systems,Aidan Browne,https://pages.charlotte.edu/connections/people/abrowne5/,,,,
geotechnical engineering,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
finite element analysis,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
continuous improvement,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
earth structures,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
educational pedagogy,Anthony Brizendine,https://pages.charlotte.edu/connections/people/albrizen/,,,,
water resources management,,,,,,
water resources planning,Brook Muller,https://pages.charlotte.edu/connections/people/bmuller7/,,,,
hybrid energy,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
hybrid energy storage,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
hybrid renewable distributed energy,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
micro grid control,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
distributed energy,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
consumer driven energy usage options,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
operations research,Yogendra Kakad,https://pages.charlotte.edu/connections/people/kakad/,,,,
spacecraft controls,Yogendra Kakad,https://pages.charlotte.edu/connections/people/kakad/,,,,
complex system control,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
complex system optimization,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
micro grid interface,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
micro grid modeling,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
power grids,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
renewable energy,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
scalable intelligent algorithms,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
smart grid analysis,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
power grid stability,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
power grid security,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
risk management,Tao Hong,https://pages.charlotte.edu/connections/people/hong/,Weidong Tian,https://pages.charlotte.edu/connections/people/wtian1/,,
power grid dynamics,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
power grid optimization,Sukumar Kamalasadan,https://pages.charlotte.edu/connections/people/skamalas/,,,,
control system theory,Yogendra Kakad,https://pages.charlotte.edu/connections/people/kakad/,,,,
cognitive data mining,Simon Hsiang,https://pages.charlotte.edu/connections/people/shsiang1/,,,,
construction operations improvement,,,,,,
construction scheduling,,,,,,
construction simulation,,,,,,
construction virtual reality,,,,,,
construction operations design,,,,,,
construction operations analysis,,,,,,
construction equipment,,,,,,
construction equipment economical modeling,,,,,,
construction fleets economical modeling,,,,,,
construction operations,,,,,,
energy management,Daniel Hoch,https://pages.charlotte.edu/connections/people/dhoch2/,,,,
energy systems,Daniel Hoch,https://pages.charlotte.edu/connections/people/dhoch2/,,,,
silicon-on-insulator,Mohamad-Ali Hasan,https://pages.charlotte.edu/connections/people/mhasan/,,,,
microelectronics,,,,,,
microelectronics fabrication processes,,,,,,
optoelectronics materials,,,,,,
planar field emission devices,Mohamad-Ali Hasan,https://pages.charlotte.edu/connections/people/mhasan/,,,,
epitaxy,Mohamad-Ali Hasan,https://pages.charlotte.edu/connections/people/mhasan/,,,,
heat transfer mechanics,Daniel Hoch,https://pages.charlotte.edu/connections/people/dhoch2/,,,,
internal combustion engines,Daniel Hoch,https://pages.charlotte.edu/connections/people/dhoch2/,,,,
thermodynamics,Daniel Hoch,https://pages.charlotte.edu/connections/people/dhoch2/,,,,
distributed energy resource modeling,Badrul Chowdhury,https://pages.charlotte.edu/connections/people/bchowdhu/,,,,
microgrid,Badrul Chowdhury,https://pages.charlotte.edu/connections/people/bchowdhu/,,,,
resource recovery,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
treatment processes,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
treatment technologies,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
precision metrology,Naiquan Zheng,https://pages.charlotte.edu/connections/people/nzheng/,,,,
photolysis,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
photocatalysis,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
public transportation,Martin Kane,https://pages.charlotte.edu/connections/people/mrkane/,,,,
contaminant detection,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
emerging contaminants,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
oxidation processes,Olya Keen,https://pages.charlotte.edu/connections/people/okeen/,,,,
manufacturing,Naiquan Zheng,https://pages.charlotte.edu/connections/people/nzheng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/
coal ash,Milind Khire,https://pages.charlotte.edu/connections/people/mkhire/,David Vinson,https://pages.charlotte.edu/connections/people/david-vinson/,,
sorption-desorption cycling,Vincent Ogunro,https://pages.charlotte.edu/connections/people/vogunro/,,,,
waste management,Vincent Ogunro,https://pages.charlotte.edu/connections/people/vogunro/,,,,
earth dams analysis,Miguel Pando,https://pages.charlotte.edu/connections/people/mpando/,,,,
earth dams design,Miguel Pando,https://pages.charlotte.edu/connections/people/mpando/,,,,
Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
bioinformatics,Tingting Xiang,https://pages.charlotte.edu/connections/people/txiang/,Yaorong Ge,https://pages.charlotte.edu/connections/people/yge/,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/
social media,Erika Montanaro,https://pages.charlotte.edu/connections/people/emontana/,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,Heather Freeman,https://pages.charlotte.edu/connections/people/hdfreema/
data mining,Yaorong Ge,https://pages.charlotte.edu/connections/people/yge/,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/,Angelina Tzacheva,https://pages.charlotte.edu/connections/people/aatzache/
human-computer interaction,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Mary Maher,https://pages.charlotte.edu/connections/people/mmaher9/,David Wilson,https://pages.charlotte.edu/connections/people/davils/
machine learning,Benjamin Radford,https://pages.charlotte.edu/connections/people/bradfor7/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/,Douglas Markant,https://pages.charlotte.edu/connections/people/dmarkant/
data science,Douglas Hague,https://pages.charlotte.edu/connections/people/dhague/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/
business analytics,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,,,,
gene sequencing,Jessica Schlueter,https://pages.charlotte.edu/connections/people/jschluet/,Daniel Janies,https://pages.charlotte.edu/connections/people/djanies/,Cory Brouwer,https://pages.charlotte.edu/connections/people/cbrouwer/
cyber security,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,
privacy,Justin Grandinetti,https://pages.charlotte.edu/connections/people/jgrandin/,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,Bojan Cukic,https://pages.charlotte.edu/connections/people/bcukic/
computational biology,Daniel Janies,https://pages.charlotte.edu/connections/people/djanies/,Cory Brouwer,https://pages.charlotte.edu/connections/people/cbrouwer/,,
supply chain management,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
data visualization,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Ming-Chun Lee,https://pages.charlotte.edu/connections/people/mlee137/,Aidong Lu,https://pages.charlotte.edu/connections/people/alu1/
medical image analysis,Yaorong Ge,https://pages.charlotte.edu/connections/people/yge/,Kalpathi Subramanian,https://pages.charlotte.edu/connections/people/krs/,,
data discovery,Yaorong Ge,https://pages.charlotte.edu/connections/people/yge/,Daniel Janies,https://pages.charlotte.edu/connections/people/djanies/,,
video analysis,Jianping Fan,https://pages.charlotte.edu/connections/people/jfan/,,,,
outreach,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/,Bojan Cukic,https://pages.charlotte.edu/connections/people/bcukic/,,
visualization,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Kalpathi Subramanian,https://pages.charlotte.edu/connections/people/krs/,Zachary Wartell,https://pages.charlotte.edu/connections/people/zwartell/
internet of things,Tao Han,https://pages.charlotte.edu/connections/people/than3/,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/
robotics,Artur Wolek,https://pages.charlotte.edu/connections/people/awolek/,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/,Rachel Dickey,https://pages.charlotte.edu/connections/people/rdickey4/
networks,Dewan Ahmed,https://pages.charlotte.edu/connections/people/dahmed/,Nicole Peterson,https://pages.charlotte.edu/connections/people/nicole-peterson/,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/
design,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/,Lidia Klein,https://pages.charlotte.edu/connections/people/lklein7/,Cynthia Frank,https://pages.charlotte.edu/connections/people/cfrank18/
urban design,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Lidia Klein,https://pages.charlotte.edu/connections/people/lklein7/,Brook Muller,https://pages.charlotte.edu/connections/people/bmuller7/
geographic information science,Ming-Chun Lee,https://pages.charlotte.edu/connections/people/mlee137/,Elizabeth Delmelle,https://pages.charlotte.edu/connections/people/elizabeth-delmelle/,Wenwu Tang,https://pages.charlotte.edu/connections/people/wenwu-tang/
security analytics,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,,,,
Architecture,David Costanza,https://pages.charlotte.edu/connections/people/dcostan2/,Blaine Brownell,https://pages.charlotte.edu/connections/people/bbrowne3/,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/
E-business,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,
information security,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,
analytics,Reginald Silver,https://pages.charlotte.edu/connections/people/rsilver5/,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/,William Tolone,https://pages.charlotte.edu/connections/people/wjtolone/
OM-marketing interface,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
supply chain coordination,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
intelligent transportation systems,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Wei Fan,https://pages.charlotte.edu/connections/people/wfan7/,Martin Kane,https://pages.charlotte.edu/connections/people/mrkane/
intermodalism,Jean-Claude Thill,https://pages.charlotte.edu/connections/people/jean-claude-thill/,,,,
mobility systems,Jean-Claude Thill,https://pages.charlotte.edu/connections/people/jean-claude-thill/,,,,
public investments,Jean-Claude Thill,https://pages.charlotte.edu/connections/people/jean-claude-thill/,,,,
operations management,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
service operations,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,
